"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",0.6,0.6,0.7,0.7,0.7,0.7,1,1,1.1,1.4,1.5,1.4,0.9,0.7,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.3,0.4
1602,"1111602","Caminha",0,0,0,0,0,0,0.2,0.2,0.2,0.7,0.7,0.7,0.4,0.4,0.2,0.3,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0
1603,"1111603","Melgaço",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,"1111604","Monção",0.3,0.3,0.3,0.4,0.3,0.4,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,"1111606","Ponte da Barca",0.8,0.8,0.9,0.8,0.9,0.9,1.4,1.4,1.3,1.4,1.5,1.4,0.9,0.7,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.3,0.4
1607,"1111607","Ponte de Lima",4.2,4,4.2,4,4.1,4,4,3.7,3.5,3.3,3.2,4.8,3.1,2.5,1.6,1.8,1.2,1.2,1.2,1.3,1.2,1.1,1.2,1.1,1.1,1.1,1,1,1.1,0.8,1.1
1608,"1111608","Valença",0.3,0.3,0.3,0.4,0.3,0.4,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1609,"1111609","Viana do Castelo",2.2,2.2,2.3,2.5,2.5,2.6,4.1,4.1,4,3.4,3.3,4.4,4,3.3,2.1,2.3,1.2,1.2,1.2,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.3,0.4
1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,"1120301","Amares",2.8,2.8,2.8,2.8,2.9,2.9,5.5,4.8,4.2,6,5.8,7,8.2,8.3,8.2,8.6,5,4.9,5,2.2,2,1.9,2,1.9,1.8,1.8,1.6,1.7,1.8,1.4,1.8
302,"1120302","Barcelos",4.6,4.6,4.6,4.5,4.4,4.3,4.5,4.3,4.1,4.1,4,6.2,4,3.3,2.1,2.3,1.8,1.8,1.8,2.6,2.4,2.3,2.4,2.3,2.2,2.2,1.9,2,2.2,1.7,2.2
303,"1120303","Braga",2.8,2.8,2.9,2.7,2.7,2.6,2.3,2.2,2.1,1.8,1.8,2.9,4,4,2.5,2.8,2.4,2.4,2.4,3.2,3.2,3.4,3.6,3.3,3.3,3.2,2.8,2.5,2,1.4,1.4
306,"1120306","Esposende",0,0,0,0,0,0,0.5,0.5,0.5,1.4,1.4,1.4,0.9,0.7,0.5,0.5,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0
310,"1120310","Terras de Bouro",0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.7,0.7,0.7,0.7,0.4,0.4,0.2,0.3,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0
313,"1120313","Vila Verde",3.2,3.1,3.3,3.1,3.2,3.2,2.8,2.6,2.4,2.2,2.1,3,3.8,3.8,3.8,3.9,3.4,3.3,3.4,1.7,1.6,1.5,1.6,1.5,1.5,1.4,1.3,1.3,1.4,1.1,1.5
307,"1130307","Fafe",0.3,0.3,0.3,0.4,0.3,0.4,0.5,0.5,0.5,0.7,0.7,0.7,0.4,0.4,0.2,0.3,0.3,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.3,0.4
308,"1130308","Guimarães",9.5,9.7,10.2,11.2,11.2,11.5,12.8,11.7,10.3,9.8,9.4,10.6,8.4,6.9,4.3,4.8,3,3,3,2.6,2.4,2.3,2.4,2.3,2.2,2.2,1.9,2,2.2,1.7,2.2
309,"1130309","Póvoa de Lanhoso",2.2,2.1,2.2,2.1,2.1,2,1.5,1.4,1.3,1.1,1,1.3,1.6,1.6,1.7,1.7,1.1,1.1,1.1,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.3,0.4
1314,"1131314","Santo Tirso",7.9,7.8,7.9,7.5,7.2,6.9,4.1,3.9,3.7,1.1,1,1.4,1.8,1.8,1.8,1.9,1.2,1.2,1.2,0.9,0.8,0.8,0.8,0.8,0.8,0.7,0.6,0.7,0.7,0.6,0.6
1318,"1131318","Trofa",0,0,0,0,0,0,0.2,0.2,0.2,0.7,0.7,0.7,0.4,0.4,0.2,0.3,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0
311,"1130311","Vieira do Minho",0.6,0.6,0.7,0.7,0.7,0.7,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,"1130312","Vila Nova de Famalicão",2.7,2.6,2.6,2.5,2.5,2.4,2.2,2.1,2,1.8,1.7,2.8,2.7,2.2,1.4,1.5,1.1,1.1,1.1,1.3,1.2,1.1,1.2,1.1,1.1,1.1,1,1,1.1,0.8,1.1
314,"1130314","Vizela",0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1
107,"1140107","Espinho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1304,"1141304","Gondomar",0.9,0.9,1,1.1,1.1,1.1,0.9,0.8,0.8,0.7,0.6,1,0.9,0.7,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.3,0.3
1306,"1141306","Maia",0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.5,0.5,0.7,0.4,0.4,0.2,0.3,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0
1308,"1141308","Matosinhos",0.3,0.3,0.3,0.4,0.3,0.4,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1312,"1141312","Porto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1313,"1141313","Póvoa de Varzim",0,0,0,0,0,0,0.2,0.2,0.2,0.7,0.7,0.7,0.4,0.4,0.2,0.3,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0
1315,"1141315","Valongo",0.6,0.6,0.7,0.7,0.7,0.7,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1316,"1141316","Vila do Conde",0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.7,0.7,0.7,0.4,0.4,0.2,0.3,0.3,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.3,0.4
1317,"1141317","Vila Nova de Gaia",1.2,1.3,1.3,1.4,1.5,1.5,1.2,1.1,1.1,0.7,0.7,1.1,1.3,1.1,0.7,0.8,0.6,0.6,0.6,0.5,0.5,0.5,0.6,0.6,0.5,0.5,0.5,0.4,0.3,0.3,0.3
1301,"1151301","Amarante",1.5,1.6,1.6,1.6,1.7,1.7,2.6,2.3,2.2,2.4,2.4,3,3.1,2.5,1.6,1.8,1.2,1.2,1.2,1.3,1.2,1.1,1.2,1.1,1.1,1.1,1,1,1.1,0.8,0.9
1302,"1151302","Baião",1.2,1.2,1.2,1.2,1.2,1.1,1.1,1,1,0.9,0.8,1.3,1.7,1.7,1.7,1.8,1.6,1.5,1.4,1.3,1.2,1.1,1.2,1.1,1.1,1.1,1,1,0.8,0.6,0.6
304,"1150304","Cabeceiras de Basto",0.9,0.9,1,1.1,1.1,1.1,1,1,1.1,0.7,0.7,0.7,0.4,0.4,0.2,0.3,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0
106,"1150106","Castelo de Paiva",0.6,0.5,0.6,0.5,0.5,0.5,0.6,0.5,0.5,0,0,0,0,0,0,0,0.1,0.1,0.1,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.3,0.4
305,"1150305","Celorico de Basto",0.6,0.6,0.7,0.7,0.7,0.7,2,1.8,1.8,1.8,1.7,2.2,2.7,2.5,1.6,1.8,1.1,1.1,1.1,0.9,0.8,0.8,0.8,0.8,0.8,0.7,0.6,0.7,0.7,0.6,0.7
1804,"1151804","Cinfães",0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.8,0.7,0.7,0.6,1,1.3,1.4,1.2,1.3,0.9,0.8,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.7,0.6,0.7,0.7,0.5,0.5
1303,"1151303","Felgueiras",1.5,1.6,1.6,1.8,1.8,1.9,2.3,2.3,2.3,2.7,2.7,2.8,1.8,1.5,0.9,1,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.3,0.4
1305,"1151305","Lousada",0.6,0.6,0.7,0.7,0.7,0.7,1,1,1.1,1.4,1.5,1.4,0.9,0.7,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.3,0.4
1307,"1151307","Marco de Canaveses",0.9,0.9,1,1.1,1.1,1.1,1.2,1.1,1,0.9,0.9,1.2,1.6,1.6,1.6,1.7,1.4,1.3,1.2,0.9,0.9,1,1.1,1.1,1,0.9,0.9,0.8,0.6,0.5,0.5
1705,"1151705","Mondim de Basto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1309,"1151309","Paços de Ferreira",0,0,0,0,0,0,0.2,0.2,0.2,0.5,0.5,0.7,0.4,0.4,0.2,0.3,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0
1310,"1151310","Paredes",0.3,0.3,0.3,0.4,0.3,0.4,0.5,0.5,0.5,0.7,0.7,0.7,0.4,0.4,0.2,0.3,0.3,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.3,0.4
1311,"1151311","Penafiel",1.9,1.7,1.9,1.7,1.9,1.8,1.8,1.6,1.6,1.3,1.3,1.9,1.3,1.1,0.7,0.8,0.6,0.6,0.6,0.9,0.8,0.8,0.8,0.8,0.8,0.7,0.6,0.7,0.7,0.6,0.6
1813,"1151813","Resende",0.8,0.8,0.8,0.9,0.9,0.8,0.9,0.8,0.8,0.7,0.7,1.2,1.7,1.7,1.8,1.8,1.3,1.2,1,0.6,0.6,0.7,0.8,0.7,0.7,0.6,0.6,0.5,0.4,0.3,0.3
1709,"1151709","Ribeira de Pena",0.8,0.7,0.8,0.7,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.8,1,1,1,1.1,1.2,1.1,1,1,1,1.1,1.3,1.2,1.1,1,1,0.8,0.6,0.5,0.5
104,"1160104","Arouca",0.6,0.6,0.7,0.7,0.7,0.7,1,1,1.1,1.4,1.5,1.4,0.9,0.7,0.5,0.5,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0
113,"1160113","Oliveira de Azeméis",0.6,0.6,0.7,0.7,0.7,0.7,1,1,1.1,1.4,1.5,1.4,0.9,0.7,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.3,0.4
109,"1160109","Santa Maria da Feira",0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.7,0.7,0.7,0.4,0.4,0.2,0.3,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0
116,"1160116","São João da Madeira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
