main_crop,crop,Avg_offtake,source,Assumption
Cereals,Barley,18,"CdBPA, 2018",
Cereals,Rainfed_maize,27.68,"CdBPA, 2018",
Cereals,Irrigated_maize,27.68,"CdBPA, 2018",
Cereals,Oat,23,"CdBPA, 2018",
Cereals,Rice,12.25,"CdBPA, 2018",
Cereals,Rye,33,"CdBPA, 2018",
Cereals,Triticale,19.25,"CdBPA, 2018",rye
Cereals,Wheat,20.64,"CdBPA, 2018",
Citrus,Lemon,1.9,"CdBPA, 2018",
Citrus,Orange,1.9,"CdBPA, 2018",
Citrus,Other_citrus,1.9,"CdBPA, 2018",
Citrus,Tangerine,1.9,"CdBPA, 2018",
Dried_nuts,Almond,32,"CdBPA, 2018",
Dried_nuts,Chestnut,5,"CdBPA, 2018",
Dried_nuts,Locust,32,"CdBPA, 2018",almonds
Dried_nuts,Nuuts,22.75,"CdBPA, 2018",
Dried_nuts,Other_dried_nuts,32,"CdBPA, 2018",almonds
Fresh_fruits,Apple,0.4,"CdBPA, 2018",
Fresh_fruits,Cherry,2,"CdBPA, 2018",
Fresh_fruits,other_fresh,1,"CdBPA, 2018",
Fresh_fruits,Peach,1,"CdBPA, 2018",
Fresh_fruits,Pear,0.5,"CdBPA, 2018",
Horticulture,Horticulture_extensive,3,"CdBPA, 2018",Assumed
Horticulture,Horticulture_intensive,3,"CdBPA, 2018",Assumed
Industry_crops,Sunflower,27,"CdBPA, 2018",
Industry_crops,Tomato,3.14,"CdBPA, 2018",
Olive_grove,Olive_grove,3.5,"CdBPA, 2018",
Potato,Rainfed_potato,5,"CdBPA, 2018",
Potato,Irrigated_potato,5,"CdBPA, 2018",
Vineyard,Vineyard,1,"CdBPA, 2018",
Pulses,Beans,30,"CdBPA, 2018",
Pulses,Chickpea,30,"CdBPA, 2018",
Pulses,Other_dried_pulses,30,"CdBPA, 2018",
Pastures,Intensive_pasture,25,GLEAMS_model,
Pastures,Extensive_pasture,17,GLEAMS_model,
Forage,forage_roots,16.3,"CdBPA, 2018",sorghum
Forage,Annual_mixtures,16.3,"CdBPA, 2018",sorghum
Forage,forage_sorghum,16.3,"CdBPA, 2018",
Forage,forage_oat,9,"CdBPA, 2018",
Forage,forage_maize,14,"CdBPA, 2018",
Forage,other_forage,16.3,"CdBPA, 2018",sorghum
