"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",0,241416,241416,226550.4,209880,194112,190872,199224,207504,205344,197712,425448,653256,682128,711072,740016,645480,587592,529704,464544,478368,538776,599184,560736,522216,483768,445320,357970.4,267840,179064,179064
1602,"1111602","Caminha",0,150624,150624,141323.2,130968,121104,169920,177336,184752,203040,195408,420624,645768,674352,702936,731520,729360,663912,598536,596520,614232,691776,769392,720000,670608,621216,571824,459679.2,343872,229896,229896
1603,"1111603","Melgaço",0,240768,240768,225972,209304,193536,110952,115776,120672,87840,84528,181944,279360,291744,304128,316440,250416,227952,205488,160128,164880,185688,206496,193248,180000,166752,153504,123396,92304,61704,61704
1604,"1111604","Monção",0,210960,210960,197996.8,183384,169632,172080,179568,187056,187272,180216,387936,595584,621936,648288,674640,587160,534456,481824,421488,433944,488808,543600,508680,473760,438912,403992,324789.6,242928,162432,162432
1605,"1111605","Paredes de Coura",0,153648,153648,144214.4,133560,123552,95616,99792,103896,92592,89064,191736,294408,307440,320472,333504,602208,548208,494136,677664,697752,785880,874008,817920,761760,705672,649584,522208.8,390672,261216,261216
1606,"1111606","Ponte da Barca",0,93384,93384,87612.8,81216,75096,235872,246096,256392,318168,306216,659088,1011960,1056744,1101528,1146312,1099152,1000584,901944,868896,894672,1007640,1120680,1048752,976752,904824,832896,669531.2,500904,334872,334872
1607,"1111607","Ponte de Lima",0,491472,491472,461197.6,427248,395136,411696,429552,447480,452016,435096,936432,1437840,1501488,1565136,1628784,2030688,1848528,1666368,1940040,1997568,2249856,2502216,2341584,2180880,2020248,1859616,1494988,1118376,747720,747720
1608,"1111608","Valença",0,110448,110448,103660.8,96048,88776,65520,68400,71208,61848,59472,128088,196632,205344,214056,222768,209448,190656,171864,162648,167472,188640,209808,196344,182880,169416,155952,125347.2,93744,62712,62712
1609,"1111609","Viana do Castelo",0,499176,499176,468426.4,433944,401328,247608,258408,269136,207864,200088,430704,661248,690480,719784,749088,654984,596232,537480,472680,486648,548136,609624,570456,531360,492192,453096,364187.2,272448,182160,182160
1610,"1111610","Vila Nova de Cerveira",0,107640,107640,100986.4,93600,86544,43344,45216,47088,30024,28872,62208,95472,99720,103896,108144,94464,85968,77544,68112,70128,78984,87840,82224,76536,70920,65304,52480.8,39240,26280,26280
301,"1120301","Amares",0,182880,182880,171612,158976,147024,251856,262872,273816,313632,301896,649728,997632,1041768,1085904,1130112,695952,633528,571104,273456,281520,317088,352656,330048,307368,284760,262080,210719.2,157608,105408,105408
