"Muni_ID","ID","Muni","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1601,"1111601","Arcos de Valdevez",0.6,0.4,0.6,0.4,0.6,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.4,0.3,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.4,0.5,0.4,0.4,0.6
1602,"1111602","Caminha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1603,"1111603","Melgaço",0.6,0.5,0.6,0.4,0.6,0.6,0.6,0.5,0.4,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
1604,"1111604","Monção",0.4,0.3,0.4,0.2,0.3,0.3,0.3,0.2,0.2,0.1,0.1,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1605,"1111605","Paredes de Coura",0.4,0.3,0.5,0.3,0.4,0.4,0.4,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.3,0.2,0.2,0.3
1606,"1111606","Ponte da Barca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1607,"1111607","Ponte de Lima",5.7,4.5,6.2,3.9,5.9,6.3,6,4.9,4.7,4.5,3.9,3.7,3.1,2.3,2.3,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.4,1.4,1.4,1.7,1.4,1.4,2
1608,"1111608","Valença",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1609,"1111609","Viana do Castelo",5.8,4.6,6.3,3.8,5.7,5.8,5.3,4.1,3.7,3.3,2.6,2.2,1.6,1.2,1.2,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.6,0.6,0.6,0.7,0.6,0.6,0.9
1610,"1111610","Vila Nova de Cerveira",0.4,0.3,0.4,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
