"Muni_ID","ID","Muni","X2009"
1601,"1111601","Arcos de Valdevez",43182
1602,"1111602","Caminha",0
1603,"1111603","Melgaço",0
1604,"1111604","Monção",0
1605,"1111605","Paredes de Coura",79167
1606,"1111606","Ponte da Barca",86364
1607,"1111607","Ponte de Lima",28788
1608,"1111608","Valença",0
1609,"1111609","Viana do Castelo",0
1610,"1111610","Vila Nova de Cerveira",0
301,"1120301","Amares",21591
302,"1120302","Barcelos",309471
303,"1120303","Braga",179925
306,"1120306","Esposende",21591
310,"1120310","Terras de Bouro",21591
313,"1120313","Vila Verde",86364
307,"1130307","Fafe",50379
308,"1130308","Guimarães",302274
309,"1130309","Póvoa de Lanhoso",136743
1314,"1131314","Santo Tirso",0
1318,"1131318","Trofa",100758
311,"1130311","Vieira do Minho",14394
312,"1130312","Vila Nova de Famalicão",172728
314,"1130314","Vizela",0
107,"1140107","Espinho",0
1304,"1141304","Gondomar",57576
1306,"1141306","Maia",21591
1308,"1141308","Matosinhos",28788
1312,"1141312","Porto",7197
1313,"1141313","Póvoa de Varzim",50379
1315,"1141315","Valongo",136743
1316,"1141316","Vila do Conde",100758
1317,"1141317","Vila Nova de Gaia",50379
1301,"1151301","Amarante",100758
1302,"1151302","Baião",29565
304,"1150304","Cabeceiras de Basto",0
106,"1150106","Castelo de Paiva",43182
305,"1150305","Celorico de Basto",79167
1804,"1151804","Cinfães",43182
1303,"1151303","Felgueiras",57576
1305,"1151305","Lousada",21591
1307,"1151307","Marco de Canaveses",14394
1705,"1151705","Mondim de Basto",50379
1309,"1151309","Paços de Ferreira",194319
1310,"1151310","Paredes",201516
1311,"1151311","Penafiel",28788
1813,"1151813","Resende",71970
1709,"1151709","Ribeira de Pena",28788
104,"1160104","Arouca",64773
113,"1160113","Oliveira de Azeméis",35985
109,"1160109","Santa Maria da Feira",7197
116,"1160116","São João da Madeira",0
119,"1160119","Vale de Cambra",79167
1701,"1171701","Alijó",0
1801,"1171801","Armamar",9855
403,"1170403","Carrazeda de Ansiães",0
404,"1170404","Freixo de Espada à Cinta",0
1805,"1171805","Lamego",0
1704,"1171704","Mesão Frio",0
1807,"1171807","Moimenta da Beira",0
1812,"1171812","Penedono",0
1708,"1171708","Peso da Régua",0
1710,"1171710","Sabrosa",0
1711,"1171711","Santa Marta de Penaguião",0
1815,"1171815","São João da Pesqueira",226665
1818,"1171818","Sernancelhe",29565
1819,"1171819","Tabuaço",0
1820,"1171820","Tarouca",9855
409,"1170409","Torre de Moncorvo",19710
410,"1170410","Vila Flor",0
914,"1170914","Vila Nova de Foz Côa",0
1714,"1171714","Vila Real",39420
401,"1180401","Alfândega da Fé",0
1702,"1181702","Boticas",49275
402,"1180402","Bragança",29565
1703,"1181703","Chaves",187245
405,"1180405","Macedo de Cavaleiros",49275
406,"1180406","Miranda do Douro",0
407,"1180407","Mirandela",29565
408,"1180408","Mogadouro",108405
1706,"1181706","Montalegre",0
1707,"1181707","Murça",0
1712,"1181712","Valpaços",0
1713,"1181713","Vila Pouca de Aguiar",295650
411,"1180411","Vimioso",19710
412,"1180412","Vinhais",9855
101,"1610101","Águeda",22360
102,"1610102","Albergaria-a-Velha",33540
103,"1610103","Anadia",78260
105,"1610105","Aveiro",33540
108,"1610108","Estarreja",11180
110,"1610110","Ílhavo",78260
111,"1610111","Mealhada",33540
112,"1610112","Murtosa",0
114,"1610114","Oliveira do Bairro",0
115,"1610115","Ovar",134160
117,"1610117","Sever do Vouga",0
118,"1610118","Vagos",424840
602,"1620602","Cantanhede",44720
603,"1620603","Coimbra",0
604,"1620604","Condeixa-a-Nova",11180
605,"1620605","Figueira da Foz",100620
608,"1620608","Mira",0
610,"1620610","Montemor-o-Velho",115152
613,"1620613","Penacova",7197
615,"1620615","Soure",79167
1004,"1631004","Batalha",0
1009,"1631009","Leiria",129546
1010,"1631010","Marinha Grande",21591
1015,"1631015","Pombal",57576
1016,"1631016","Porto de Mós",0
1002,"1641002","Alvaiázere",0
1003,"1641003","Ansião",0
601,"1640601","Arganil",7197
1007,"1641007","Castanheira de Pêra",0
1008,"1641008","Figueiró dos Vinhos",0
606,"1640606","Góis",0
607,"1640607","Lousã",0
609,"1640609","Miranda do Corvo",7197
611,"1640611","Oliveira do Hospital",266289
